customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,payment_method,num_support_tickets,churned
CUST-00284,53,F,17,28.73,448.74,one-year,credit_card,5,0
CUST-00285,73,F,71,29.31,2032.24,two-year,mailed_check,6,0
CUST-00286,33,M,11,92.48,1035.81,two-year,bank_transfer,2,0
CUST-00287,28,F,35,50.11,1731.45,one-year,electronic_check,7,1
CUST-00288,49,M,10,56.11,556.89,month-to-month,bank_transfer,4,0
CUST-00289,42,F,1,114.88,108.9,one-year,mailed_check,10,0
CUST-00290,30,F,18,50.04,882.14,two-year,mailed_check,5,0
CUST-00291,54,M,38,93.49,3535.21,two-year,electronic_check,6,0
CUST-00292,52,M,47,31.39,1493.5,two-year,credit_card,7,0
CUST-00293,22,F,27,63.85,1741.25,one-year,bank_transfer,10,0
CUST-00294,45,F,39,44.2,1681.2,two-year,mailed_check,9,0
CUST-00295,20,F,52,73.44,3839.04,two-year,credit_card,1,0
CUST-00296,57,M,32,85.76,2750.64,one-year,mailed_check,5,1
CUST-00297,50,M,56,30.59,1707.62,month-to-month,mailed_check,7,1
CUST-00298,36,F,65,35.07,2321.6,month-to-month,credit_card,1,0
CUST-00299,31,F,19,54.83,1026.6,one-year,credit_card,7,0
CUST-00300,63,M,58,51.89,2961.88,one-year,electronic_check,10,1
CUST-00301,65,M,14,87.71,1229.54,month-to-month,bank_transfer,5,0
CUST-00302,43,M,72,62.64,4478.72,one-year,mailed_check,6,0
CUST-00303,45,F,4,93.74,325.41,month-to-month,bank_transfer,3,1
CUST-00304,69,M,36,95.23,3414.86,month-to-month,bank_transfer,7,0
CUST-00305,58,F,15,46.24,703.3,one-year,mailed_check,9,0
CUST-00306,70,F,15,54.79,863.72,one-year,credit_card,10,0
CUST-00307,29,F,18,51.32,943.1,month-to-month,mailed_check,6,0
CUST-00308,58,M,18,77.48,1400.13,one-year,mailed_check,4,0
CUST-00309,73,F,18,38.71,741.96,one-year,mailed_check,2,0
CUST-00310,49,F,25,101.52,2556.47,two-year,mailed_check,7,0
CUST-00311,66,M,63,36.73,2293.2,two-year,electronic_check,3,1
CUST-00312,67,F,69,48.87,3377.0,one-year,credit_card,9,0
CUST-00313,41,M,15,46.79,727.85,two-year,mailed_check,8,0
CUST-00314,59,M,28,118.98,3311.21,month-to-month,credit_card,7,0
CUST-00315,25,M,34,54.86,1836.23,month-to-month,electronic_check,9,0
CUST-00316,70,M,55,36.6,2043.54,month-to-month,electronic_check,8,0
CUST-00317,63,F,36,79.69,2847.77,month-to-month,electronic_check,8,0
CUST-00318,35,M,13,33.56,456.42,one-year,bank_transfer,3,0
CUST-00319,61,F,19,91.14,1730.61,month-to-month,electronic_check,10,0
CUST-00320,74,M,54,57.52,3096.37,month-to-month,electronic_check,5,0
CUST-00321,73,M,59,115.03,6809.86,one-year,mailed_check,10,0
CUST-00322,45,M,46,105.01,4829.93,two-year,electronic_check,4,0
CUST-00323,49,F,44,74.73,3327.54,month-to-month,credit_card,0,0
CUST-00324,72,M,13,82.62,1068.19,one-year,credit_card,6,1
CUST-00325,37,M,26,119.57,3146.26,month-to-month,electronic_check,1,0
CUST-00326,59,M,47,45.04,2072.06,one-year,electronic_check,3,0
CUST-00327,31,F,55,85.55,4663.04,two-year,bank_transfer,8,1
CUST-00328,25,F,57,20.93,1212.41,two-year,mailed_check,1,0
CUST-00329,24,F,30,58.31,1736.06,two-year,electronic_check,2,0
CUST-00330,61,M,49,97.35,4726.99,month-to-month,credit_card,9,0
CUST-00331,65,M,22,64.01,1450.21,two-year,mailed_check,3,0
CUST-00332,55,F,12,109.66,1301.07,month-to-month,mailed_check,5,0
CUST-00333,53,F,18,44.78,833.94,two-year,credit_card,10,1
CUST-00334,65,F,39,40.54,1560.61,two-year,credit_card,3,0
CUST-00335,56,M,64,58.59,3752.59,month-to-month,credit_card,5,0
CUST-00336,52,M,41,33.2,1387.47,two-year,credit_card,0,0
CUST-00337,21,F,9,21.38,193.08,month-to-month,mailed_check,6,1
CUST-00338,27,F,52,28.24,1426.84,two-year,credit_card,8,0
CUST-00339,43,M,27,117.43,3151.63,month-to-month,mailed_check,3,0
CUST-00340,57,M,8,44.45,336.53,one-year,bank_transfer,1,1
CUST-00341,49,F,2,90.79,183.88,two-year,electronic_check,2,1
CUST-00342,25,M,48,32.69,1552.62,one-year,mailed_check,4,0
CUST-00343,58,M,68,26.39,1794.13,two-year,electronic_check,0,0
CUST-00344,34,M,64,105.94,6819.59,month-to-month,credit_card,3,1
CUST-00345,48,F,66,20.26,1325.46,month-to-month,bank_transfer,2,1
CUST-00346,44,M,5,75.29,358.63,two-year,mailed_check,5,0
CUST-00347,50,M,35,102.6,3558.93,two-year,credit_card,6,0
CUST-00348,37,F,9,107.7,927.94,one-year,mailed_check,0,0
CUST-00349,65,M,48,40.07,1919.75,two-year,mailed_check,3,0
CUST-00350,44,M,70,96.05,6696.8,month-to-month,electronic_check,10,1
CUST-00351,42,F,2,115.1,190.59,month-to-month,bank_transfer,6,0
CUST-00352,23,M,63,116.12,7357.69,month-to-month,mailed_check,5,0
CUST-00353,50,M,59,117.46,6943.86,month-to-month,mailed_check,1,0
CUST-00354,34,F,8,63.5,550.6,month-to-month,mailed_check,5,1
CUST-00355,30,M,41,65.28,2704.47,month-to-month,credit_card,2,1
CUST-00356,25,F,14,36.44,556.62,one-year,bank_transfer,7,0
CUST-00357,69,F,40,66.33,2685.84,month-to-month,credit_card,3,1
CUST-00358,40,F,42,34.83,1464.21,two-year,electronic_check,4,0
CUST-00359,53,M,23,23.11,491.0,one-year,credit_card,2,0
CUST-00360,70,F,16,21.2,326.42,month-to-month,credit_card,9,1
CUST-00361,22,M,34,111.74,3839.41,month-to-month,mailed_check,2,1
CUST-00362,47,M,12,110.51,1292.92,one-year,mailed_check,6,1
CUST-00363,40,M,64,22.95,1509.63,two-year,electronic_check,4,0
CUST-00364,57,M,58,108.34,6298.45,month-to-month,mailed_check,6,0
CUST-00365,26,F,71,67.9,4790.85,month-to-month,bank_transfer,10,1
CUST-00366,40,F,70,99.48,6968.05,one-year,mailed_check,5,0
CUST-00367,38,M,65,52.16,3343.33,one-year,electronic_check,0,0
CUST-00368,28,M,61,72.94,4424.13,two-year,bank_transfer,4,0
CUST-00369,32,F,69,101.63,6997.95,two-year,bank_transfer,2,1
CUST-00370,55,M,31,79.25,2477.1,two-year,electronic_check,9,0
CUST-00371,69,F,19,76.31,1454.1,month-to-month,bank_transfer,7,0
CUST-00372,19,F,5,29.03,95.22,month-to-month,bank_transfer,2,0
CUST-00373,27,M,44,91.69,4061.8,one-year,electronic_check,1,1
CUST-00374,24,F,48,90.45,4321.78,two-year,bank_transfer,2,0
CUST-00375,29,F,56,99.18,5526.4,one-year,bank_transfer,6,0
CUST-00376,64,M,40,93.4,3780.88,one-year,mailed_check,9,1
CUST-00377,57,M,5,38.21,205.01,one-year,credit_card,7,0
CUST-00378,38,M,19,53.12,1022.9,month-to-month,credit_card,10,1
CUST-00379,62,M,43,64.66,2765.43,one-year,credit_card,0,0
CUST-00380,28,F,7,58.59,409.44,two-year,mailed_check,5,0
CUST-00381,54,M,70,57.53,3993.37,one-year,credit_card,0,0
CUST-00382,22,F,38,22.01,803.39,one-year,mailed_check,2,0
