Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Department,Parental_Education,Dropout
19.8,Male,25000.0,No,4.39,96.0,4,20.2,Yes,No,6.0,0.94,0.18,0.14,Year 4,Science,High School,1
18.6,Male,25225.0,Yes,4.27,90.5,4,24.9,Yes,No,5.5,2.48,2.42,2.42,Year 1,Business,High School,0
18.7,Male,25000.0,No,3.98,73.7,1,27.0,No,No,6.3,3.3,3.21,3.2,Year 2,Engineering,Bachelor,0
20.6,Male,42239.0,No,0.6,78.8,0,29.5,No,No,3.4,2.12,1.88,1.88,Year 1,Engineering,High School,0
19.7,Female,25000.0,Yes,4.52,86.8,3,25.4,No,No,3.6,4.0,3.28,3.28,Year 3,Science,High School,0
20.3,Female,28657.0,Yes,4.82,73.7,3,16.4,Yes,Yes,7.3,0.22,0.19,0.19,Year 1,Science,High School,1
21.5,Male,47822.0,Yes,3.42,95.3,2,32.3,Yes,Yes,5.3,0.88,0.5,0.55,Year 3,Business,High School,1
22.8,Female,25000.0,Yes,3.14,79.4,1,11.3,No,Yes,2.2,0.96,1.33,1.34,Year 2,CS,High School,0
21.4,Female,25000.0,Yes,4.52,84.8,0,56.7,No,No,5.9,1.42,0.96,1.08,Year 3,Arts,Bachelor,0
20.1,Male,25000.0,Yes,3.29,96.1,3,31.8,No,No,4.4,2.62,2.35,2.32,Year 4,CS,Bachelor,0
19.6,Female,36036.0,Yes,4.77,85.9,4,25.2,Yes,Yes,4.6,3.7,3.49,3.47,Year 3,Arts,Master,0
23.8,Female,25000.0,Yes,3.05,85.1,1,35.0,No,Yes,5.3,2.86,2.38,2.41,Year 4,CS,High School,0
17.7,Female,90920.0,Yes,4.02,90.2,1,36.5,Yes,No,4.2,2.8,2.64,2.64,Year 2,Business,Bachelor,0
21.1,Female,25000.0,Yes,3.2,84.5,5,29.8,No,Yes,6.0,2.0,1.81,1.86,Year 2,Science,Bachelor,0
19.2,Female,25000.0,Yes,4.96,92.8,2,12.0,Yes,Yes,5.3,3.44,3.58,3.59,Year 2,Engineering,Bachelor,0
21.8,Female,25000.0,Yes,3.26,90.8,2,17.5,No,No,5.9,1.31,0.97,0.98,Year 3,Engineering,Bachelor,0
22.9,Female,54004.0,No,3.75,69.3,4,42.8,No,Yes,4.7,1.89,1.64,1.64,Year 1,Arts,Bachelor,0
19.5,Male,58630.0,Yes,2.95,76.7,1,36.9,No,No,3.8,1.78,1.83,1.83,Year 1,Science,High School,0
20.9,Female,28157.0,Yes,1.36,88.2,1,46.7,No,No,3.8,3.55,3.42,3.38,Year 4,Arts,High School,0
22.1,Female,40611.0,Yes,1.23,94.7,0,5.0,Yes,Yes,6.9,2.69,2.83,2.83,Year 1,Arts,Master,0
22.0,Female,59724.0,Yes,3.36,72.8,0,36.9,Yes,Yes,5.4,2.11,1.71,1.71,Year 1,Arts,Master,0
21.4,Female,30785.0,Yes,4.44,96.9,1,13.1,Yes,No,7.9,2.34,2.56,2.51,Year 3,Engineering,Bachelor,0
17.5,Female,50681.0,Yes,6.95,92.8,4,19.6,No,No,7.1,2.36,2.61,2.61,Year 1,Engineering,Master,0
22.4,Male,26686.0,Yes,2.34,76.1,0,31.9,Yes,No,4.8,3.44,3.75,3.79,Year 2,CS,High School,0
19.3,Female,88274.0,Yes,3.68,90.4,4,33.9,Yes,No,5.3,2.26,2.3,2.36,Year 2,Science,High School,0
23.5,Female,29586.0,No,3.67,74.1,2,40.4,No,Yes,5.5,3.49,4.0,3.96,Year 2,Science,PhD,0
20.6,Female,61665.0,Yes,3.15,82.5,1,45.5,No,No,3.7,2.78,2.26,2.27,Year 3,Arts,Bachelor,0
18.1,Male,36788.0,Yes,3.13,90.2,2,47.3,No,Yes,6.3,3.65,3.88,3.88,Year 1,CS,Bachelor,0
21.5,Female,44230.0,Yes,3.85,81.9,1,33.0,No,Yes,3.8,2.69,2.33,2.36,Year 3,CS,High School,0
20.5,Female,55220.0,Yes,6.1,87.7,2,34.3,Yes,No,4.2,3.9,4.0,4.0,Year 1,Science,High School,0
23.7,Female,30686.0,Yes,4.42,75.8,0,23.3,No,Yes,4.2,2.64,2.63,2.63,Year 1,Arts,Master,0
21.9,Male,25000.0,Yes,4.86,79.7,2,38.7,No,No,5.2,3.06,3.04,3.14,Year 4,Business,Bachelor,0
17.0,Male,39814.0,Yes,1.17,79.3,1,5.0,Yes,No,6.4,0.0,0.0,0.0,Year 4,Engineering,High School,0
19.7,Male,25000.0,Yes,3.09,81.6,1,44.5,No,No,3.6,2.55,2.65,2.63,Year 2,Business,Bachelor,0
18.5,Female,25000.0,Yes,4.58,97.0,0,30.1,Yes,No,5.7,1.96,2.02,2.12,Year 4,Arts,Master,0
26.7,Female,82095.0,No,5.94,67.0,1,23.1,No,Yes,5.6,2.5,2.3,2.32,Year 2,Arts,Master,1
19.3,Male,25000.0,Yes,4.11,69.5,3,24.8,No,Yes,7.9,0.0,0.35,0.24,Year 3,Business,Bachelor,0
27.1,Male,36261.0,Yes,4.84,84.8,3,5.0,No,No,9.7,2.12,2.03,2.02,Year 4,Business,Bachelor,0
19.7,Male,72124.0,Yes,3.3,71.9,2,22.1,Yes,No,8.9,0.0,0.35,0.32,Year 2,Arts,Master,1
25.2,Female,25000.0,Yes,4.42,73.8,2,20.6,No,No,6.1,1.82,1.83,1.83,Year 1,Engineering,High School,0
23.7,Male,47114.0,Yes,4.78,84.6,2,29.0,No,Yes,7.9,1.03,1.17,1.17,Year 3,Arts,Master,1
23.5,Male,25000.0,Yes,4.44,81.4,2,24.3,Yes,Yes,9.5,1.14,1.38,1.39,Year 3,CS,High School,1
17.7,Female,42662.0,No,3.52,86.5,2,25.1,No,Yes,2.2,2.57,2.32,2.29,Year 3,Business,High School,1
20.9,Female,39335.0,Yes,3.72,97.5,2,42.4,Yes,Yes,5.0,1.55,1.36,1.41,Year 3,Business,High School,0
18.8,Male,25482.0,No,6.63,90.5,2,46.3,No,No,5.8,0.36,0.92,0.92,Year 1,CS,Bachelor,1
25.6,Male,46025.0,Yes,5.53,84.2,0,32.3,Yes,No,1.6,3.79,3.51,3.56,Year 3,Science,High School,0
21.0,Female,25000.0,Yes,5.26,95.1,0,35.3,Yes,Yes,4.3,3.68,3.7,3.72,Year 2,Science,Bachelor,0
19.5,Male,33395.0,Yes,4.69,83.5,0,14.6,No,No,6.2,2.88,2.81,2.83,Year 4,Business,PhD,0
18.3,Male,43071.0,No,3.99,80.6,1,39.9,No,Yes,5.0,3.02,2.95,2.94,Year 4,Engineering,High School,0
20.6,Female,27551.0,Yes,3.54,61.0,1,24.4,No,No,4.9,2.6,2.82,2.82,Year 1,Engineering,Master,0
23.0,Female,65350.0,Yes,3.71,86.0,3,13.9,Yes,No,5.7,3.33,3.53,3.53,Year 1,Business,Bachelor,0
20.9,Female,51880.0,Yes,3.55,89.1,3,33.8,No,Yes,5.4,2.4,2.5,2.59,Year 4,Arts,Master,0
17.7,Female,71011.0,Yes,2.87,68.5,6,33.0,Yes,Yes,6.6,1.54,1.4,1.39,Year 3,Business,High School,0
21.6,Male,47084.0,Yes,4.11,94.1,3,35.0,Yes,Yes,3.0,3.52,3.41,3.41,Year 1,CS,Master,0
19.9,Male,25000.0,Yes,4.37,83.7,0,16.3,No,No,7.4,3.03,2.94,2.94,Year 2,Engineering,Master,0
17.0,Female,31421.0,Yes,2.86,70.5,4,44.1,No,No,7.5,3.83,3.61,3.59,Year 4,CS,Master,0
26.9,Female,32125.0,Yes,0.73,88.0,1,17.7,No,Yes,2.5,2.8,2.99,2.95,Year 2,Engineering,Bachelor,0
22.9,Male,26884.0,Yes,1.22,82.6,0,32.6,No,No,4.1,1.44,1.16,1.24,Year 4,Engineering,High School,0
22.3,Female,39270.0,Yes,4.03,77.7,1,19.2,No,Yes,6.3,1.63,1.68,1.68,Year 1,Arts,PhD,0
19.7,Female,25000.0,Yes,6.39,85.1,1,40.1,No,No,7.5,3.95,3.8,3.8,Year 1,Business,Bachelor,0
20.6,Male,69170.0,Yes,4.65,93.3,1,53.1,No,Yes,5.2,0.96,1.44,1.44,Year 1,CS,Master,0
18.3,Male,26826.0,No,4.69,70.7,0,31.9,No,Yes,6.8,1.66,1.99,1.99,Year 1,Engineering,Bachelor,1
19.7,Female,25000.0,Yes,4.05,93.6,3,34.1,No,No,6.0,3.14,3.27,3.21,Year 3,Arts,Master,0
18.3,Female,61465.0,Yes,3.81,85.6,1,42.8,Yes,Yes,6.0,3.2,2.96,2.94,Year 4,CS,Bachelor,0
22.6,Male,204684.0,Yes,2.09,91.2,1,5.0,Yes,Yes,6.0,0.0,0.25,0.4,Year 4,Science,High School,1
22.1,Male,35539.0,Yes,2.68,73.6,4,23.6,Yes,Yes,1.8,2.58,2.57,2.6,Year 2,Science,High School,0
21.3,Female,56251.0,Yes,2.82,83.7,2,27.7,No,No,5.7,1.84,1.89,1.77,Year 4,Science,High School,1
23.3,Male,57072.0,Yes,4.18,93.6,0,36.2,No,No,4.8,2.99,2.89,2.84,Year 3,CS,Bachelor,0
24.7,Male,25000.0,Yes,2.84,73.4,1,13.5,No,No,4.9,1.94,1.65,1.6,Year 4,Business,High School,0
22.7,Female,25000.0,Yes,1.04,77.7,2,46.1,No,No,4.6,0.11,0.0,0.09,Year 4,Science,Bachelor,0
24.0,Female,25000.0,Yes,5.99,86.9,0,23.8,No,No,6.4,2.76,2.71,2.71,Year 1,Business,PhD,0
21.7,Female,54547.0,Yes,4.3,74.8,1,39.5,No,No,7.6,0.82,1.0,1.07,Year 3,CS,PhD,1
29.6,Male,25000.0,Yes,3.38,86.7,3,35.1,No,No,5.7,1.46,1.81,1.8,Year 2,Science,Bachelor,0
18.4,Female,32325.0,No,3.87,78.0,0,28.8,Yes,No,5.1,1.96,1.62,1.62,Year 4,Engineering,PhD,0
18.9,Female,42108.0,Yes,4.33,91.5,0,36.7,No,Yes,6.3,3.61,3.29,3.33,Year 2,CS,High School,0
21.2,Male,25000.0,No,3.36,84.5,1,22.4,No,No,7.6,1.6,1.95,1.9,Year 2,Arts,Bachelor,1
22.1,Female,31860.0,Yes,3.58,73.9,1,25.5,No,No,5.3,2.71,3.14,3.1,Year 3,CS,High School,0
23.3,Male,25000.0,Yes,2.5,90.5,1,23.1,No,No,4.4,3.82,3.71,3.67,Year 4,Science,Bachelor,0
22.9,Female,25000.0,Yes,3.99,78.7,3,36.8,Yes,No,7.1,0.79,0.89,0.85,Year 4,Arts,Bachelor,1
22.3,Male,28153.0,Yes,4.24,72.6,4,20.4,Yes,No,4.2,1.85,1.69,1.68,Year 4,Business,Master,0
23.3,Female,65755.0,No,2.73,65.0,2,22.3,No,No,4.8,3.27,3.3,3.29,Year 4,Science,High School,0
18.3,Female,37840.0,Yes,4.59,96.2,2,28.3,Yes,No,5.6,2.87,3.0,3.02,Year 4,Business,High School,0
21.7,Female,61291.0,Yes,4.3,84.5,3,33.1,Yes,No,4.0,2.99,3.39,3.43,Year 4,Business,PhD,0
20.7,Male,50481.0,Yes,3.94,77.9,0,17.9,No,No,6.4,0.93,0.94,0.83,Year 2,Business,Bachelor,0
20.7,Male,41061.0,Yes,3.92,80.4,4,31.5,No,No,4.8,3.3,3.42,3.41,Year 3,Arts,Bachelor,0
25.1,Male,65358.0,Yes,4.03,83.3,0,36.9,Yes,Yes,7.5,0.71,1.05,1.05,Year 3,CS,High School,1
25.4,Female,52120.0,Yes,2.06,74.1,5,15.3,No,No,5.8,2.17,1.94,1.94,Year 1,Business,Bachelor,1
21.0,Male,25000.0,Yes,4.76,96.1,1,22.2,Yes,No,5.2,2.5,2.21,2.12,Year 3,Arts,Bachelor,0
20.0,Female,25000.0,Yes,5.33,73.7,0,24.1,Yes,No,7.2,2.35,2.55,2.64,Year 4,Business,High School,0
21.0,Female,25000.0,Yes,2.78,79.9,1,33.2,No,Yes,5.7,3.14,3.37,3.32,Year 4,Business,High School,0
26.1,Male,25000.0,No,2.51,81.6,0,43.3,Yes,No,3.5,3.01,3.06,3.01,Year 4,Business,Bachelor,0
21.2,Female,45885.0,Yes,5.04,87.2,0,33.4,No,No,6.6,0.85,0.71,0.71,Year 1,Science,PhD,0
21.2,Male,41425.0,Yes,1.33,77.0,4,45.9,Yes,No,4.7,1.03,0.82,0.82,Year 1,CS,Bachelor,1
22.1,Male,30488.0,Yes,3.13,71.4,2,20.5,No,No,6.7,1.16,0.84,0.83,Year 2,Science,Bachelor,1
19.3,Female,25000.0,Yes,2.68,80.6,1,5.0,No,Yes,5.6,2.91,2.7,2.7,Year 1,Science,Bachelor,0
21.3,Male,25000.0,Yes,4.17,92.0,3,24.8,Yes,No,6.2,3.19,3.5,3.5,Year 1,Engineering,Bachelor,0
22.2,Female,31078.0,Yes,5.19,78.1,3,33.0,Yes,No,7.8,2.53,2.57,2.61,Year 3,Business,High School,0
18.5,Male,25000.0,No,2.64,83.2,3,53.4,No,No,2.5,4.0,3.29,3.26,Year 2,CS,Bachelor,0
21.5,Female,47043.0,Yes,4.98,76.6,0,31.4,No,Yes,5.3,1.63,1.04,1.04,Year 1,CS,Bachelor,0
23.0,Female,34635.0,Yes,4.18,62.6,1,36.7,No,No,6.1,0.0,0.12,0.13,Year 3,Science,High School,1
23.6,Male,25000.0,Yes,2.63,74.4,3,22.6,No,Yes,4.5,2.24,2.01,2.01,Year 1,CS,Master,0
25.3,Male,33697.0,Yes,3.67,75.5,0,29.1,Yes,No,5.5,0.96,0.52,0.45,Year 2,Arts,High School,0
20.9,Female,35372.0,Yes,3.32,54.2,2,30.5,No,Yes,5.5,1.03,1.33,1.33,Year 1,Business,Master,0
18.8,Male,48102.0,Yes,3.62,88.6,1,24.0,Yes,No,4.7,2.84,2.34,2.32,Year 4,Arts,Bachelor,0
18.9,Male,32979.0,No,2.68,81.6,1,33.6,Yes,Yes,3.7,2.67,2.43,2.48,Year 4,Arts,Bachelor,0
21.4,Male,42489.0,Yes,3.94,85.5,1,18.3,No,No,2.2,3.02,2.65,2.65,Year 4,Arts,Bachelor,0
18.6,Male,25000.0,Yes,2.86,85.2,2,33.6,Yes,Yes,6.7,2.22,1.74,1.73,Year 3,Science,Master,0
20.9,Male,94500.0,Yes,3.51,66.9,1,51.4,Yes,No,6.5,2.27,2.7,2.69,Year 2,Business,High School,0
22.2,Female,25000.0,Yes,3.44,77.5,2,49.4,Yes,No,5.5,0.68,0.53,0.66,Year 4,Arts,High School,0
21.2,Female,55929.0,Yes,3.12,81.2,1,17.6,No,Yes,4.1,1.71,1.86,1.86,Year 1,Engineering,High School,0
20.2,Female,38366.0,Yes,3.61,81.9,3,46.1,No,Yes,9.2,1.26,1.04,1.07,Year 4,Science,Bachelor,0
19.4,Female,38496.0,No,2.89,90.8,0,24.4,Yes,No,5.9,1.48,1.06,1.03,Year 4,Arts,High School,0
26.3,Male,25000.0,Yes,4.74,82.8,1,25.8,Yes,Yes,3.7,4.0,4.0,4.0,Year 1,Science,Bachelor,0
18.8,Female,28008.0,Yes,5.26,93.1,0,18.7,No,No,6.8,2.42,2.6,2.61,Year 3,Business,PhD,1
24.2,Female,25000.0,Yes,2.63,83.7,1,22.4,Yes,No,4.7,1.1,1.08,1.0,Year 3,Business,Bachelor,0
21.1,Male,25000.0,Yes,4.4,91.6,2,42.9,Yes,Yes,2.9,2.7,2.36,2.31,Year 2,Arts,High School,1
21.3,Female,28666.0,Yes,4.42,79.6,4,47.9,No,No,4.1,3.54,2.89,2.89,Year 1,CS,Bachelor,0
18.0,Female,25000.0,Yes,4.53,65.5,0,27.6,Yes,No,8.3,1.86,1.8,1.8,Year 3,Science,High School,1
21.1,Female,25000.0,Yes,6.23,77.0,2,17.9,No,Yes,7.5,0.11,0.0,0.0,Year 3,CS,High School,1
20.6,Female,42604.0,No,3.55,82.2,0,33.1,No,Yes,6.3,1.57,1.39,1.41,Year 2,Science,Master,1
20.0,Female,81062.0,Yes,5.01,77.5,1,32.3,No,Yes,7.4,0.04,0.0,0.08,Year 2,Business,Bachelor,0
18.5,Male,25000.0,Yes,3.44,76.4,4,10.9,No,No,5.9,2.64,2.96,2.96,Year 1,Arts,High School,0
22.3,Female,25000.0,Yes,3.0,80.5,4,46.5,No,No,9.2,2.81,2.79,2.67,Year 4,CS,Bachelor,0
24.0,Female,31888.0,Yes,4.02,67.3,0,32.6,Yes,No,8.1,1.91,1.69,1.64,Year 3,Arts,Bachelor,0
19.1,Male,25000.0,Yes,3.88,86.4,0,36.6,No,No,7.1,1.99,2.32,2.49,Year 2,Arts,High School,0
17.0,Female,25000.0,Yes,4.62,87.3,2,28.2,No,Yes,7.0,2.46,2.39,2.39,Year 2,CS,Master,0
18.7,Male,31749.0,No,5.21,76.4,3,35.8,Yes,No,3.6,3.73,3.16,3.17,Year 4,CS,Master,0
21.2,Female,25271.0,Yes,4.88,78.9,1,55.3,Yes,No,5.9,1.4,1.51,1.49,Year 3,CS,Bachelor,1
22.8,Male,25137.0,Yes,3.83,80.0,5,27.2,No,No,5.3,1.02,1.2,1.2,Year 1,CS,Bachelor,0
17.0,Female,56345.0,Yes,3.69,82.1,0,22.3,No,No,8.7,3.06,2.92,2.96,Year 2,Arts,Bachelor,0
19.0,Male,32685.0,Yes,2.41,76.3,1,36.2,No,Yes,7.9,1.15,1.31,1.33,Year 2,Arts,High School,1
21.8,Female,35622.0,Yes,5.04,77.1,4,25.3,Yes,No,2.1,4.0,4.0,3.99,Year 4,Science,Master,0
18.8,Male,25000.0,Yes,4.63,90.0,2,16.4,Yes,No,2.6,3.56,3.64,3.58,Year 4,Business,PhD,0
17.7,Female,25000.0,Yes,3.65,67.0,1,19.7,Yes,No,5.1,3.85,4.0,4.0,Year 2,Engineering,Master,0
21.8,Male,92410.0,Yes,2.88,97.0,1,24.1,No,No,6.1,2.21,2.44,2.46,Year 2,CS,High School,0
25.9,Male,25000.0,Yes,4.16,81.5,4,31.0,Yes,No,6.1,1.99,2.11,2.11,Year 1,Arts,Bachelor,1
19.6,Female,52689.0,No,3.95,88.4,2,14.2,Yes,No,2.0,4.0,4.0,4.0,Year 1,Science,Bachelor,0
19.7,Male,76044.0,Yes,5.36,97.8,2,37.7,Yes,No,2.4,2.37,2.73,2.74,Year 3,Arts,Master,0
